time,available_stores
2026-02-08 18:07:10-05:00,4088044
2026-02-08 18:07:20-05:00,4088138
2026-02-08 18:07:30-05:00,4087108
2026-02-08 18:07:40-05:00,4086226
2026-02-08 18:07:50-05:00,4085171
2026-02-08 18:08:00-05:00,4083391
2026-02-08 18:08:10-05:00,4084985
2026-02-08 18:08:20-05:00,4089936
2026-02-08 18:08:30-05:00,4094319
2026-02-08 18:08:40-05:00,4095574
2026-02-08 18:08:50-05:00,4095589
2026-02-08 18:09:00-05:00,4097587
2026-02-08 18:09:10-05:00,4097547
2026-02-08 18:09:20-05:00,4093475
2026-02-08 18:09:30-05:00,4090400
2026-02-08 18:09:40-05:00,4086698
2026-02-08 18:09:50-05:00,4088708
2026-02-08 18:10:00-05:00,4093565
2026-02-08 18:10:10-05:00,4095626
2026-02-08 18:10:20-05:00,4099136
2026-02-08 18:10:30-05:00,4105186
2026-02-08 18:10:40-05:00,4113595
2026-02-08 18:10:50-05:00,4121534
2026-02-08 18:11:00-05:00,4127433
2026-02-08 18:11:10-05:00,4136554
2026-02-08 18:11:20-05:00,4142291
2026-02-08 18:11:30-05:00,4146544
2026-02-08 18:11:40-05:00,4152604
2026-02-08 18:11:50-05:00,4146370
2026-02-08 18:12:00-05:00,4147136
2026-02-08 18:12:10-05:00,4146863
2026-02-08 18:12:20-05:00,4146794
2026-02-08 18:12:30-05:00,4148204
2026-02-08 18:12:40-05:00,4158496
2026-02-08 18:12:50-05:00,4166762
2026-02-08 18:13:00-05:00,4174767
2026-02-08 18:13:10-05:00,4182180
2026-02-08 18:13:20-05:00,4188941
2026-02-08 18:13:30-05:00,4194243
2026-02-08 18:13:40-05:00,4205627
2026-02-08 18:13:50-05:00,4210253
2026-02-08 18:14:00-05:00,4211106
2026-02-08 18:14:10-05:00,4208862
2026-02-08 18:14:20-05:00,4213901
2026-02-08 18:14:30-05:00,4212012
2026-02-08 18:14:40-05:00,4215991
2026-02-08 18:14:50-05:00,4219343
2026-02-08 18:15:00-05:00,4218697
2026-02-08 18:15:10-05:00,4205379
2026-02-08 18:15:20-05:00,4202466
2026-02-08 18:15:30-05:00,4197086
2026-02-08 18:15:40-05:00,4197340
2026-02-08 18:15:50-05:00,4198413
2026-02-08 18:16:00-05:00,4204146
